year,country,"Foreign direct investment, net outflows (BoP, current US$)","Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)","Portfolio equity, net inflows (BoP, current US$)","Personal transfers, receipts (BoP, current US$)","Personal remittances, received (current US$)",Market capitalization of listed domestic companies (current US$),Market capitalization of listed domestic companies (% of GDP),"Listed domestic companies, total","Stocks traded, total value (current US$)","Stocks traded, total value (% of GDP)","Automated teller machines (ATMs) (per 100,000 adults)","Commercial bank branches (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)",Domestic credit to private sector by banks (% of GDP),Bank liquid reserves to bank assets ratio (%),Total reserves in months of imports,Monetary Sector credit to private sector (% GDP),Broad money (% of GDP),"Inflation, consumer prices (annual %)","Claims on central government, etc. (% GDP)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Net migration
2014,TUR,7050000000.0,815000000.0,13337000000.0,2559000000.0,1092000000.0,1739000000.0,219762560000.0,23.4055234330481,226.0,369745680000.0,39.3792790614939,79.61,19.3599360676697,825.67406510059,59.6367511552458,16.23631311138,5.46656223125611,59.6367511552458,51.4928366915281,8.85457271364324,10.6830578161013,51.13,59.42,44.46,69.16,61.16,47.51,60.94,41.57,56.68,1033384.0
2017,BGD,126742274.660245,46838244.5116133,1810395803.56746,258081454.046438,13474496432.369,13501933032.7097,86178750000.0,29.3392000067805,572.0,26503040000.0,9.02285066037398,8.36,8.78188429969914,82.7117413089633,40.3027362303916,11.4701873653853,6.76886499116675,40.4489561448676,55.8375416123996,5.70207015717239,12.4365144159946,40.08,56.68,35.84,64.59,53.53,39.84,57.23,40.99,50.05,-1037176.0
2017,BRA,21340512975.24,2238140844.16,68885491315.23,5673535220.19,2300370883.51,2698770651.24,954715100000.0,46.2664487772856,335.0,642502620122.419,31.1363196865386,107.87,19.4612923304483,544.050089405923,59.4843092982775,32.4167709998217,14.8647023427237,59.4843092982775,93.059558109052,3.44637335032669,42.8717618277896,56.63,78.97,67.51,72.85,77.23,62.9,74.39,46.67,70.04,-156296.0
2017,COL,3689564074.544,291727376.352561,13700880445.1998,472082478.841172,5783727159.35704,5818773635.08076,121477230000.0,38.9516295819788,67.0,13865382953.3394,4.44592999701063,42.02,15.5084408743997,242.166233701329,49.7873155419407,5.69740435489455,7.88739431363662,49.8054213986163,49.0241162749341,4.31431325695011,2.71918593878283,35.02,52.89,42.47,49.45,49.63,32.78,53.34,34.27,45.76,431072.0
2017,CRI,272813606.57715,468504811.363687,2924906990.98245,53273626.7696409,527160862.333746,560366619.096707,3010760000.0,4.9751433972405,10.0,55370000.0,0.0914963962272671,64.25,20.4265064804822,252.18098448585,58.5611298914755,19.3074727424909,3.80306697765492,58.5611298914755,46.5754635847343,1.62590692991732,18.0499652344161,58.03,74.34,60.88,75.46,67.91,57.26,73.26,67.65,67.84,1671.0
2017,EAP,164425985615.88,36853707092.8558,239680559407.838,39255960701.3752,48928311494.2545,93347375691.8407,10653914826857.0,72.307616235403,6625.0,17870892144813.9,121.28890008901,26.94,8.15493256315933,311.057442033552,139.870406662865,24.3033232522195,14.1212720294815,139.887989215406,180.626660510845,2.91263557371478,22.2290893249784,60.28,77.73,67.73,73.04,70.92,63.33,80.49,67.53,70.37,-126551.0
2017,ECA,7264197123.04609,6749867466.14976,35721733570.2691,3097815512.38681,23509304355.1889,41857510722.8521,278268070000.0,24.4548545895999,558.0,378130245974.207,31.7061082627011,50.635,19.0784439762747,162.125200415571,50.5358738576313,19.7347219747456,6.44533214403445,50.5671767798894,47.6663109082417,4.60357355778866,5.66515101146063,56.23,71.06,62.32,68.38,68.58,45.54,70.58,50.16,65.14,478993.0
2017,EGY,199000000.0,270800000.0,7408700000.0,224300000.0,24737400000.0,24737400000.0,46546100000.0,18.7411743209606,252.0,14428816885.2011,5.8095731434164,17.71,4.60008311762257,97.6832524874388,27.0698246737254,50.1146859513116,5.72306111855627,27.0698246737254,87.6024678721874,29.5066083940039,52.4338998530269,20.32,41.07,26.99,38.65,39.66,31.69,33.4,14.05,32.78,-80000.0
2017,HUN,-14470143149.4082,673858022.193744,-12371761179.6433,-141835643.7957,386393560.186169,4118123061.03479,31553860000.0,22.0483375093405,41.0,10382730752.3874,7.25495872445545,60.93,14.6670735673873,469.835376144692,32.3983896323025,10.7800443842325,2.49519454988071,32.4413103307043,58.36254594777,2.34824281150154,19.7194334847775,67.67,79.77,72.16,78.16,77.18,55.83,82.77,60.09,74.94,20200.0
2017,IDN,2008271971.8252,5177356261.76192,20510310832.4469,-2537669049.154,8761207215.92975,8989529970.52679,520686680000.0,51.2679273585588,566.0,92513090234.7969,9.10903730026926,55.14,16.6472976703959,412.296206671336,32.4174570125496,20.634741732254,7.08716242011102,32.4706724908157,39.8766339278733,3.80879806953157,5.65673251445569,36.6,57.02,51.35,46.25,49.5,33.6,62.72,46.77,48.86,-29467.0
2017,LAC,31117245643.1335,7480443417.58957,148414880019.279,19645717449.3165,77893060302.9772,81027753218.6055,1713586510000.0,38.1130301891916,938.0,778767782738.395,17.32109808327,38.64,13.8216946785149,199.079915343665,42.3180307137636,24.3678546646823,10.4502829760804,42.3244491437194,61.7847110607537,3.27955694678546,25.2680148814275,41.96,62.75,51.38,57.91,59.59,44.06,60.15,39.34,54.49,-31625.0
